node_id,class,service_type,m,mu
100035,2,IS,,1.0638238401544342
100035,3,IS,,1.0638238401544342
100035,4,IS,,1.0638238401544342
100036,1,IS,,1.0492292229241962
100036,2,IS,,1.0492292229241962
100036,3,IS,,1.0492292229241962
100036,4,IS,,1.0492292229241962
100037,1,IS,,1.0857542193634533
100037,2,IS,,1.0857542193634533
100037,3,IS,,1.0857542193634533
100037,4,IS,,1.0857542193634533
100038,1,IS,,1.0837736475020032
100038,2,IS,,1.0837736475020032
100038,3,IS,,1.0837736475020032
100038,4,IS,,1.0837736475020032
100039,1,IS,,1.0427733432448343
100039,2,IS,,1.0427733432448343
100039,3,IS,,1.0427733432448343
100039,4,IS,,1.0427733432448343
100040,1,IS,,1.0475518873440803
100040,2,IS,,1.0475518873440803
100040,3,IS,,1.0475518873440803
100040,4,IS,,1.0475518873440803
100041,1,IS,,0.9959932888585616
100041,2,IS,,0.9959932888585616
100041,3,IS,,0.9959932888585616
100041,4,IS,,0.9959932888585616
100042,1,IS,,1.0320828073912258
100042,2,IS,,1.0320828073912258
100042,3,IS,,1.0320828073912258
100042,4,IS,,1.0320828073912258
100043,1,IS,,1.0340181009104124
100043,2,IS,,1.0340181009104124
100043,3,IS,,1.0340181009104124
100043,4,IS,,1.0340181009104124
100044,1,IS,,1.0345176960270517
100044,2,IS,,1.0345176960270517
100044,3,IS,,1.0345176960270517
100044,4,IS,,1.0345176960270517
100045,1,IS,,1.0476340607313188
100045,2,IS,,1.0476340607313188
100045,3,IS,,1.0476340607313188
100045,4,IS,,1.0476340607313188
100046,1,IS,,1.0511277956133465
100046,2,IS,,1.0511277956133465
100046,3,IS,,1.0511277956133465
100046,4,IS,,1.0511277956133465
100047,1,IS,,1.0402753735296264
100047,2,IS,,1.0402753735296264
100047,3,IS,,1.0402753735296264
100047,4,IS,,1.0402753735296264
100048,1,IS,,1.0261672899000458
100048,2,IS,,1.0261672899000458
100048,3,IS,,1.0261672899000458
100048,4,IS,,1.0261672899000458
100049,1,IS,,1.01202635575188
100049,2,IS,,1.01202635575188
100049,3,IS,,1.01202635575188
100049,4,IS,,1.01202635575188
100050,1,IS,,1.0139373857775045
100050,2,IS,,1.0139373857775045
100050,3,IS,,1.0139373857775045
100050,4,IS,,1.0139373857775045
100051,1,IS,,0.996949552167659
100051,2,IS,,0.996949552167659
100051,3,IS,,0.996949552167659
100051,4,IS,,0.996949552167659
100052,1,IS,,0.9831431229249282
100052,2,IS,,0.9831431229249282
100052,3,IS,,0.9831431229249282
100052,4,IS,,0.9831431229249282
100053,1,IS,,0.9379131437207834
100053,2,IS,,0.9379131437207834
100053,3,IS,,0.9379131437207834
100053,4,IS,,0.9379131437207834
100054,1,IS,,0.9984469540670508
100054,2,IS,,0.9984469540670508
100054,3,IS,,0.9984469540670508
100054,4,IS,,0.9984469540670508
100055,1,IS,,1.026443186013436
100055,2,IS,,1.026443186013436
100055,3,IS,,1.026443186013436
100055,4,IS,,1.026443186013436
100056,1,IS,,1.0180711571563827
100056,2,IS,,1.0180711571563827
100056,3,IS,,1.0180711571563827
100056,4,IS,,1.0180711571563827
100057,1,IS,,0.9852218831857664
100057,2,IS,,0.9852218831857664
100057,3,IS,,0.9852218831857664
100057,4,IS,,0.9852218831857664
100058,1,IS,,1.008300438823945
100058,2,IS,,1.008300438823945
100058,3,IS,,1.008300438823945
100058,4,IS,,1.008300438823945
100059,1,IS,,1.019541357642803
100059,2,IS,,1.019541357642803
100059,3,IS,,1.019541357642803
100059,4,IS,,1.019541357642803
100060,1,IS,,0.9663126560282324
100060,2,IS,,0.9663126560282324
100060,3,IS,,0.9663126560282324
100060,4,IS,,0.9663126560282324
100061,1,IS,,0.9650807458519559
100061,2,IS,,0.9650807458519559
100061,3,IS,,0.9650807458519559
100061,4,IS,,0.9650807458519559
100062,1,IS,,0.9008420753997692
100062,2,IS,,0.9008420753997692
100062,3,IS,,0.9008420753997692
100062,4,IS,,0.9008420753997692
100063,1,IS,,0.9380582098253553
100063,2,IS,,0.9380582098253553
100063,3,IS,,0.9380582098253553
100063,4,IS,,0.9380582098253553
100064,1,IS,,0.9091776720292473
100064,2,IS,,0.9091776720292473
100064,3,IS,,0.9091776720292473
100064,4,IS,,0.9091776720292473
100065,1,IS,,1.0704403279552284
100065,2,IS,,1.0704403279552284
100065,3,IS,,1.0704403279552284
100065,4,IS,,1.0704403279552284
100066,1,IS,,1.0586459589967985
100066,2,IS,,1.0586459589967985
100066,3,IS,,1.0586459589967985
100066,4,IS,,1.0586459589967985
100067,1,IS,,1.0572997309990873
100067,2,IS,,1.0572997309990873
100067,3,IS,,1.0572997309990873
100067,4,IS,,1.0572997309990873
100068,1,IS,,1.0488681765639296
100068,2,IS,,1.0488681765639296
100068,3,IS,,1.0488681765639296
100068,4,IS,,1.0488681765639296
100069,1,IS,,1.0113127046408241
100069,2,IS,,1.0113127046408241
100069,3,IS,,1.0113127046408241
100069,4,IS,,1.0113127046408241
100070,1,IS,,1.0405654613438071
100070,2,IS,,1.0405654613438071
100070,3,IS,,1.0405654613438071
100070,4,IS,,1.0405654613438071
100071,1,IS,,1.0187212661713938
100071,2,IS,,1.0187212661713938
100071,3,IS,,1.0187212661713938
