node_id,population
100385,0.0
100386,68.0
100387,237.0
100388,0.0
100389,139.0
100390,51.0
100391,70.0
100392,16.0
100393,0.0
100394,63.0
100395,43.0
100396,5.0
100397,19.0
100398,9.0
100399,8.0
100400,91.0
100401,46.0
100402,24.0
100403,65.0
100404,29.0
100405,21.0
100406,68.0
100407,159.0
100408,38.0
100409,103.0
100410,145.0
100411,93.0
100412,292.0
100413,13.0
100414,281.0
100415,0.0
100416,5.0
100417,8.0
100418,76.0
100419,25.0
100420,286.0
100421,919.0
100422,379.0
100423,590.0
100424,905.0
100425,593.0
100426,822.0
100427,352.0
100428,931.0
100429,997.0
100430,1284.0
100431,1289.0
100432,1223.0
100433,3622.0
100434,1002.0
100435,552.0
100436,546.0
100437,822.0
100438,1405.0
100439,1149.0
100440,7012.0
100441,5028.0
100442,4319.0
100443,3683.0
100444,1589.0
100445,925.0
100446,946.0
100447,1627.0
100448,1924.0
100449,1552.0
100450,983.0
100451,615.0
100452,669.0
100453,1349.0
100454,1603.0
100455,1452.0
100456,1114.0
100457,3562.0
100458,793.0
100459,1135.0
100460,839.0
100461,1428.0
100462,296.0
100463,390.0
100464,741.0
100465,1022.0
100466,1015.0
100467,1452.0
100468,1057.0
100469,11.0
100470,660.0
100471,651.0
100472,561.0
100473,442.0
100474,800.0
100475,839.0
100476,505.0
100477,1399.0
100478,1194.0
100479,981.0
100480,568.0
100481,1066.0
100482,1326.0
100483,1231.0
100484,1350.0
100485,1093.0
100486,1132.0
100487,1339.0
100488,1425.0
100489,767.0
100490,1117.0
100491,3120.0
100492,1108.0
100493,1603.0
100494,650.0
100495,698.0
100496,1171.0
100497,1069.0
100498,1297.0
100499,2444.0
100500,1473.0
100501,1207.0
100502,458.0
100503,271.0
100504,7356.0
100505,3198.0
100506,1908.0
100507,1571.0
100508,8407.0
100509,2564.0
100510,1176.0
100511,0.0
100512,487.0
100513,121.0
100514,370.0
100515,699.0
100516,785.0
100517,1562.0
100518,1273.0
100519,2290.0
100520,34.0
100521,1265.0
100522,537.0
100523,81.0
100524,18.0
100525,114.0
100526,160.0
100527,117.0
100528,353.0
100529,6771.0
100530,697.0
100531,830.0
100532,927.0
100533,383.0
100534,0.0
100535,0.0
100536,0.0
100537,192.0
100538,0.0
100539,126.0
100540,0.0
100541,153.0
100542,0.0
100543,0.0
100544,192.0
100545,0.0
100546,349.0
100547,3146.0
100548,0.0
100549,50.0
100550,653.0
100551,1112.0
100552,1150.0
100553,1667.0
100554,795.0
100555,1084.0
100556,741.0
100557,626.0
100558,781.0
100559,761.0
100560,528.0
100561,844.0
100562,1973.0
100563,1285.0
100564,1104.0
100565,1455.0
100566,1234.0
100567,0.0
100568,1585.0
100569,196.0
100570,799.0
100571,867.0
100572,749.0
100573,732.0
100574,930.0
100575,823.0
100576,0.0
100577,229.0
100578,0.0
100579,858.0
100580,632.0
100581,758.0
100582,814.0
100583,763.0
100584,48.0
100585,111.0
100586,89.0
100587,1502.0
100588,166.0
100589,873.0
100590,0.0
100591,18.0
100592,22.0
100593,778.0
100594,5137.0
100595,0.0
100596,990.0
100597,0.0
100598,1646.0
100599,3400.0
100600,1723.0
100601,2490.0
100602,1069.0
100603,1154.0
100604,1035.0
100605,870.0
100606,839.0
100607,956.0
100608,531.0
100609,491.0
100610,1276.0
100611,194.0
100612,716.0
100613,930.0
100614,638.0
100615,665.0
100616,737.0
100617,533.0
100618,810.0
100619,598.0
100620,424.0
100621,675.0
100622,330.0
100623,845.0
100624,414.0
100625,499.0
100626,13.0
100627,221.0
100628,753.0
100629,320.0
100630,165.0
100631,883.0
100632,311.0
100633,276.0
100634,235.0
100635,326.0
100636,628.0
100637,482.0
100638,732.0
100639,311.0
100640,429.0
100641,448.0
100642,301.0
100643,475.0
100644,405.0
100645,830.0
100646,366.0
100647,464.0
100648,242.0
100649,540.0
100650,373.0
100651,477.0
100652,522.0
100653,657.0
100654,920.0
100655,445.0
100656,1002.0
100657,412.0
100658,579.0
100659,550.0
100660,359.0
100661,355.0
100662,742.0
100663,448.0
100664,515.0
100665,462.0
100666,0.0
100667,1757.0
100668,0.0
100669,254.0
100670,137.0
100671,234.0
100672,264.0
100673,1469.0
100674,425.0
100675,320.0
100676,423.0
100677,393.0
100678,545.0
100679,553.0
100680,190.0
100681,642.0
100682,0.0
100683,781.0
100684,556.0
100685,992.0
100686,503.0
100687,407.0
100688,690.0
100689,506.0
100690,452.0
100691,944.0
100692,1048.0
100693,750.0
100694,1183.0
100695,801.0
100696,362.0
100697,310.0
100698,192.0
100699,952.0
100700,993.0
100701,10.0
100702,479.0
100703,434.0
100704,721.0
100705,629.0
100706,1379.0
100707,790.0
100708,697.0
100709,904.0
100710,362.0
100711,440.0
100712,1036.0
100713,730.0
100714,303.0
100715,248.0
100716,378.0
100717,167.0
100718,471.0
100719,199.0
100720,844.0
100721,880.0
100722,629.0
100723,707.0
100724,439.0
100725,107.0
100726,318.0
100727,145.0
100728,9.0
100729,526.0
100730,0.0
100731,59.0
100732,674.0
100733,486.0
