,300001,300003,300005,300007,300009,300011,300013,300015,300017,300019,300021,300023,300025,300027,300029,300031,300033,300035,300037,300039,300041,300043,300045,300047,300049,300051,300053,300055,300057,300059,300061,300063,300065,300067,300069,300071,300073,300075,300077,300079,300081,300083,300085,300087,300089,300091,300093,300095,300097,300099,300101,300103,300105,300107,300109,300111,300113,300115
100025,1.466,2.247,3.152,2.428,0.489,1.85,2.61,3.924,3.686,3.536,4.637,7.098,5.025,6.952,6.92,3.753,5.345,6.239,8.045,11.217,0.95,2.433,2.581,3.287,6.159,2.867,1.281,3.611,4.786,5.39,6.224,5.247,5.914,6.18,10.364,9.384,9.692,9.909,12.187,16.9,9.926,6.816,6.336,13.416,16.543,21.838,21.313,29.218,26.276,23.104,8.589,9.297,15.11,9.085,63.128,36.237,21.808,24.421
100026,1.776,2.266,3.171,2.671,0.763,2.159,2.92,4.233,3.996,3.338,4.49,6.951,4.878,7.449,6.939,3.996,5.588,6.481,8.288,11.459,0.969,2.452,2.6,3.306,6.178,2.886,0.987,3.464,4.492,5.243,6.243,5.266,5.933,6.199,10.216,9.237,9.544,9.761,12.04,16.753,9.778,6.668,6.188,13.268,16.395,21.691,21.165,29.07,26.128,22.956,8.442,9.316,15.129,9.104,63.146,36.479,22.05,24.44
100027,1.441,1.932,2.836,2.336,0.429,1.825,2.585,3.899,3.662,3.511,4.769,7.23,5.158,7.729,6.605,3.661,5.253,6.147,7.953,11.124,0.634,2.118,2.265,2.971,5.843,2.551,1.337,3.743,4.842,5.523,5.908,4.931,5.598,5.865,10.496,9.516,9.824,10.041,12.32,17.033,10.058,6.948,6.468,13.548,16.675,21.97,21.445,29.35,26.408,23.236,8.722,8.982,14.794,8.769,62.812,36.144,21.716,24.105
100028,1.317,1.653,2.558,1.768,0.212,1.7,2.46,3.774,3.537,3.386,4.949,7.847,5.774,6.803,6.326,3.093,4.685,5.578,7.385,10.556,1.002,1.839,2.633,2.693,5.564,2.919,1.954,4.36,5.502,6.139,5.63,4.653,5.319,5.586,11.113,10.133,10.441,10.658,12.936,17.649,10.675,7.565,7.085,14.165,17.292,22.587,22.062,29.967,27.025,23.853,9.338,8.703,14.515,8.491,62.533,35.576,21.147,23.826
100029,1.545,1.678,2.582,2.082,0.367,1.928,2.689,4.003,3.765,3.614,5.109,7.57,5.498,7.031,6.351,3.407,4.999,5.893,7.699,10.871,0.725,1.864,2.356,2.718,5.589,2.642,1.677,4.083,5.226,5.863,5.655,4.678,5.344,5.611,10.836,9.856,10.164,10.381,12.66,17.373,10.398,7.288,6.808,13.888,17.015,22.31,21.785,29.69,26.748,23.576,9.062,8.728,14.54,8.516,62.558,35.891,21.462,23.851
100030,1.615,1.539,2.443,1.779,0.511,1.998,2.759,4.072,3.835,3.684,5.6,8.061,5.988,7.101,6.212,3.104,4.696,5.589,7.396,10.567,1.216,1.725,2.846,2.578,5.45,3.133,2.167,4.574,5.716,6.353,5.515,4.538,5.205,5.472,11.326,10.347,10.655,10.871,13.15,17.863,10.889,7.779,7.298,14.378,17.506,22.801,22.276,30.18,27.239,24.067,9.552,8.589,14.401,8.376,62.419,35.587,21.159,23.712
100031,2.639,1.58,2.485,2.611,1.283,3.023,3.783,5.097,4.86,4.709,5.904,8.365,6.292,8.126,6.253,3.936,5.528,6.422,8.228,11.399,0.497,1.296,1.976,2.264,4.48,2.94,2.375,4.878,5.524,6.657,5.557,4.409,5.247,5.513,11.63,10.651,10.958,11.175,13.454,15.253,11.192,8.083,7.602,14.682,17.809,23.105,22.58,30.484,27.542,24.371,9.856,8.631,14.443,8.418,62.461,36.419,21.991,23.754
100032,1.374,1.337,1.855,1.076,1.173,2.223,2.983,4.297,4.06,3.909,5.472,8.863,5.591,6.304,5.623,2.401,3.993,4.887,6.693,9.864,2.018,1.971,3.649,2.825,5.697,3.935,2.97,5.376,6.519,7.156,3.929,4.785,5.452,5.718,12.129,11.149,11.457,11.674,13.953,18.666,11.691,8.581,8.101,15.181,18.308,23.603,23.078,30.983,28.041,24.869,10.355,8.0,13.813,7.788,61.83,34.884,20.456,23.123
100033,1.537,1.551,2.069,1.39,0.87,1.92,2.681,3.994,3.757,3.606,5.169,8.56,5.288,7.023,5.837,2.715,4.307,5.201,7.007,10.178,1.715,1.665,3.346,2.519,5.39,3.632,2.667,5.074,6.216,6.853,5.456,4.479,5.145,5.412,11.826,10.846,11.154,11.371,13.65,18.363,11.388,8.278,7.798,14.878,18.005,23.3,22.775,30.68,27.738,24.566,10.052,8.214,14.027,8.002,62.045,35.198,20.77,23.338
100034,1.385,0.848,1.366,1.079,1.923,2.652,2.725,4.039,4.489,4.338,5.901,9.219,6.02,6.307,5.134,2.404,3.996,4.89,6.696,9.868,1.905,1.978,3.36,2.831,5.703,4.291,3.326,5.733,6.875,7.512,3.441,4.791,5.458,5.725,12.485,11.506,11.813,12.03,14.309,19.022,12.047,8.937,8.457,15.537,18.664,23.96,23.434,31.339,28.397,25.225,10.711,7.511,13.324,7.299,61.342,34.888,20.459,22.635
100035,1.78,1.17,1.688,1.405,1.605,2.164,2.924,4.238,4.001,3.85,5.413,8.902,5.532,6.632,5.457,2.729,4.321,5.215,7.021,10.193,1.588,1.66,3.042,2.514,5.386,3.974,3.008,5.415,6.557,7.194,3.763,4.474,5.141,5.407,12.167,11.188,11.496,11.712,13.991,18.704,11.73,8.62,8.14,15.219,18.347,23.642,23.117,31.021,28.08,24.908,10.393,7.834,13.646,7.621,61.664,35.213,20.784,22.957
100036,1.812,0.863,1.381,1.507,1.532,2.821,3.581,4.895,4.658,4.507,6.368,8.829,6.756,6.734,5.149,2.832,4.424,5.317,7.124,10.295,1.514,1.587,2.969,2.44,5.312,3.9,2.935,5.342,6.484,7.121,3.455,4.401,5.067,5.334,12.094,11.115,11.422,11.639,13.918,18.631,11.656,8.546,8.066,15.146,18.273,23.569,23.043,30.948,28.006,24.834,10.32,7.526,13.339,7.314,61.356,35.315,20.887,22.649
100037,1.61,1.215,2.12,1.66,0.9,1.994,2.754,4.068,3.831,3.68,5.736,8.197,6.124,7.097,5.888,2.984,4.576,5.47,7.277,10.448,1.351,1.401,2.982,2.255,5.127,3.269,2.303,4.71,5.852,6.489,5.192,4.215,4.882,5.148,11.462,10.483,10.79,11.007,13.286,17.999,11.024,7.915,7.434,14.514,17.641,22.937,22.412,30.316,27.374,24.203,9.688,8.265,14.078,8.053,62.095,35.468,21.039,23.388
100038,1.676,1.183,1.701,1.827,1.242,2.06,2.82,4.134,3.896,3.745,5.308,8.539,5.428,7.162,5.469,3.152,4.744,5.638,7.444,10.615,1.225,1.297,2.679,2.151,5.022,3.611,2.645,5.052,6.194,6.831,5.088,4.111,4.778,5.044,11.804,10.825,11.132,11.349,13.628,18.341,11.366,8.257,7.776,14.856,17.983,23.279,22.754,30.658,27.717,24.545,10.03,7.847,13.659,7.634,61.677,35.635,21.207,22.97
100039,2.357,1.017,1.535,1.661,1.452,2.741,3.501,4.815,4.578,4.427,6.287,8.748,6.676,6.888,5.303,2.986,4.578,5.471,7.278,10.449,1.434,1.507,2.889,2.36,5.232,3.82,2.855,5.261,6.404,7.041,3.609,4.32,4.987,5.254,12.014,11.034,11.342,11.559,13.838,18.551,11.576,8.466,7.986,15.066,18.193,23.488,22.963,30.868,27.926,24.754,10.24,7.68,13.492,7.468,61.51,35.469,21.04,22.803
100040,2.312,0.611,1.668,1.794,1.406,2.695,3.456,4.769,4.532,4.381,6.242,8.703,6.63,7.021,5.436,3.119,4.711,5.604,7.411,10.582,1.388,1.461,2.843,2.315,5.186,3.774,2.809,5.216,6.358,6.995,3.743,4.275,4.941,5.208,11.968,10.989,11.296,11.513,13.792,18.505,11.53,8.42,7.94,15.02,18.147,23.443,22.918,30.822,27.88,24.709,10.194,7.813,13.626,7.601,61.644,35.602,21.174,22.937
